"Date Time","p (mbar)","T (degC)","Tpot (K)","Tdew (degC)","rh (%)","VPmax (mbar)","VPact (mbar)","VPdef (mbar)","sh (g/kg)","H2OC (mmol/mol)","rho (g/m**3)","wv (m/s)","max. wv (m/s)","wd (deg)"
01.01.2009 03:00:00,996.84,-8.81,264.59,-9.66,93.50,3.13,2.93,0.20,1.83,2.94,1312.18,0.18,0.63,167.20
01.01.2009 03:10:00,996.87,-8.84,264.56,-9.69,93.50,3.13,2.92,0.20,1.83,2.93,1312.37,0.07,0.25,129.30
01.01.2009 03:20:00,996.97,-8.94,264.45,-9.82,93.30,3.10,2.89,0.21,1.81,2.90,1313.01,0.10,0.63,115.30
01.01.2009 03:30:00,997.08,-8.94,264.44,-9.80,93.40,3.10,2.90,0.20,1.81,2.90,1313.15,0.30,0.75,149.30
01.01.2009 03:40:00,997.10,-8.86,264.52,-9.76,93.10,3.12,2.90,0.22,1.81,2.91,1312.78,0.29,0.75,149.70
01.01.2009 03:50:00,997.06,-8.99,264.39,-9.99,92.40,3.09,2.85,0.23,1.78,2.86,1313.39,0.12,0.63,231.70
01.01.2009 04:00:00,996.99,-9.05,264.34,-10.02,92.60,3.07,2.85,0.23,1.78,2.85,1313.61,0.10,0.38,240.00
01.01.2009 04:10:00,997.05,-9.23,264.15,-10.25,92.20,3.03,2.79,0.24,1.74,2.80,1314.62,0.10,0.38,203.90
01.01.2009 04:20:00,997.11,-9.49,263.89,-10.54,92.00,2.97,2.73,0.24,1.71,2.74,1316.02,0.34,0.75,159.70
01.01.2009 04:30:00,997.19,-9.50,263.87,-10.51,92.30,2.97,2.74,0.23,1.71,2.75,1316.16,0.43,0.88,66.16
01.01.2009 04:40:00,997.24,-9.35,264.02,-10.29,92.80,3.00,2.79,0.22,1.74,2.79,1315.47,0.40,0.88,105.00
01.01.2009 04:50:00,997.37,-9.47,263.89,-10.46,92.40,2.97,2.75,0.23,1.72,2.75,1316.25,0.37,0.75,125.80
01.01.2009 05:00:00,997.46,-9.63,263.72,-10.65,92.20,2.94,2.71,0.23,1.69,2.71,1317.19,0.40,0.88,157.00
01.01.2009 05:10:00,997.43,-9.67,263.68,-10.63,92.60,2.93,2.71,0.22,1.69,2.72,1317.35,0.36,0.75,132.50
01.01.2009 05:20:00,997.42,-9.68,263.67,-10.73,92.00,2.92,2.69,0.23,1.68,2.70,1317.40,0.09,0.50,143.20
01.01.2009 05:30:00,997.53,-9.90,263.45,-10.98,91.70,2.87,2.64,0.24,1.64,2.64,1318.68,0.29,1.00,72.50
01.01.2009 05:40:00,997.60,-9.91,263.43,-10.90,92.40,2.87,2.65,0.22,1.66,2.66,1318.81,0.50,1.00,60.72
01.01.2009 05:50:00,997.62,-9.51,263.83,-10.37,93.40,2.96,2.77,0.20,1.73,2.77,1316.77,0.31,0.75,147.40
01.01.2009 06:00:00,997.71,-9.67,263.66,-10.62,92.70,2.93,2.71,0.21,1.69,2.72,1317.71,0.05,0.50,146.00
01.01.2009 06:10:00,997.81,-9.59,263.74,-10.47,93.20,2.95,2.74,0.20,1.71,2.75,1317.44,0.24,0.75,161.60
01.01.2009 06:20:00,997.86,-9.15,264.17,-10.02,93.30,3.05,2.85,0.20,1.78,2.85,1315.26,0.18,0.50,125.70
01.01.2009 06:30:00,998.00,-8.91,264.40,-9.89,92.50,3.11,2.87,0.23,1.79,2.88,1314.23,0.45,0.88,67.11
01.01.2009 06:40:00,998.14,-9.04,264.26,-10.11,91.90,3.08,2.83,0.25,1.76,2.83,1315.09,1.48,2.75,14.00
01.01.2009 06:50:00,998.21,-9.43,263.86,-10.57,91.30,2.98,2.72,0.26,1.70,2.73,1317.18,2.51,3.63,357.00
01.01.2009 07:00:00,998.33,-9.17,264.12,-10.10,92.90,3.04,2.83,0.22,1.76,2.83,1315.98,2.08,2.88,348.80
01.01.2009 07:10:00,998.50,-8.71,264.56,-9.63,93.00,3.16,2.94,0.22,1.83,2.94,1313.87,2.06,2.75,338.10
01.01.2009 07:20:00,998.59,-8.55,264.72,-9.47,93.00,3.20,2.97,0.22,1.85,2.98,1313.17,1.95,2.38,357.90
01.01.2009 07:30:00,998.79,-8.40,264.85,-9.31,93.10,3.24,3.01,0.22,1.88,3.02,1312.67,0.92,1.38,340.10
01.01.2009 07:40:00,998.86,-8.30,264.95,-9.21,93.10,3.26,3.04,0.22,1.89,3.04,1312.25,0.81,1.13,321.10
01.01.2009 07:50:00,999.04,-8.13,265.10,-9.03,93.20,3.30,3.08,0.22,1.92,3.08,1311.63,0.61,1.13,254.20
01.01.2009 08:00:00,999.17,-8.10,265.12,-9.05,92.80,3.31,3.07,0.24,1.92,3.08,1311.65,0.72,1.25,213.90
01.01.2009 08:10:00,999.27,-8.14,265.08,-9.12,92.60,3.30,3.06,0.24,1.91,3.06,1311.98,0.71,1.00,241.40
01.01.2009 08:20:00,999.33,-8.06,265.15,-9.02,92.70,3.32,3.08,0.24,1.92,3.08,1311.66,0.53,0.88,242.50
01.01.2009 08:30:00,999.44,-7.95,265.25,-8.93,92.60,3.35,3.10,0.25,1.93,3.10,1311.26,0.53,0.88,352.70
01.01.2009 08:40:00,999.46,-7.74,265.46,-8.67,93.00,3.41,3.17,0.24,1.97,3.17,1310.21,0.38,0.75,100.20
01.01.2009 08:50:00,999.59,-7.57,265.62,-8.64,92.00,3.45,3.18,0.28,1.98,3.18,1309.54,0.17,0.50,166.70
01.01.2009 09:00:00,999.69,-7.66,265.52,-8.84,91.20,3.43,3.13,0.30,1.95,3.13,1310.14,0.34,0.63,202.20
01.01.2009 09:10:00,999.79,-7.71,265.47,-8.87,91.30,3.41,3.12,0.30,1.94,3.12,1310.51,0.14,0.50,235.00
01.01.2009 09:20:00,999.81,-7.56,265.61,-8.67,91.70,3.45,3.17,0.29,1.97,3.17,1309.78,0.11,0.38,310.50
01.01.2009 09:30:00,999.83,-7.29,265.88,-8.33,92.20,3.53,3.25,0.28,2.03,3.25,1308.43,0.75,2.50,17.30
01.01.2009 09:40:00,999.96,-7.15,266.01,-8.21,92.10,3.57,3.28,0.28,2.05,3.28,1307.90,1.62,2.75,4.63
01.01.2009 09:50:00,1000.13,-7.02,266.13,-8.06,92.20,3.60,3.32,0.28,2.07,3.32,1307.46,1.24,3.13,314.30
01.01.2009 10:00:00,1000.27,-7.04,266.10,-8.17,91.60,3.60,3.30,0.30,2.05,3.29,1307.76,1.45,3.00,292.60
01.01.2009 10:10:00,1000.43,-7.03,266.10,-8.16,91.60,3.60,3.30,0.30,2.05,3.30,1307.91,1.12,2.75,266.30
01.01.2009 10:20:00,1000.54,-7.15,265.97,-8.34,91.10,3.57,3.25,0.32,2.02,3.25,1308.67,2.12,3.25,267.20
01.01.2009 10:30:00,1000.68,-7.26,265.85,-8.47,91.00,3.54,3.22,0.32,2.00,3.22,1309.41,1.54,3.25,258.80
01.01.2009 10:40:00,1000.78,-7.34,265.76,-8.57,90.80,3.51,3.19,0.32,1.99,3.19,1309.96,1.81,3.00,257.00
01.01.2009 10:50:00,1000.83,-7.35,265.75,-8.57,90.90,3.51,3.19,0.32,1.99,3.19,1310.07,1.77,3.25,260.50
01.01.2009 11:00:00,1000.87,-7.41,265.68,-8.66,90.70,3.50,3.17,0.33,1.97,3.17,1310.43,1.91,3.38,269.60
01.01.2009 11:10:00,1000.81,-7.48,265.62,-8.76,90.50,3.48,3.15,0.33,1.96,3.14,1310.71,1.73,3.25,247.10
01.01.2009 11:20:00,1000.74,-7.38,265.72,-8.64,90.60,3.50,3.17,0.33,1.98,3.17,1310.10,1.25,2.13,230.60
01.01.2009 11:30:00,1000.61,-7.21,265.90,-8.53,90.20,3.55,3.20,0.35,1.99,3.20,1309.08,1.41,2.25,208.20
01.01.2009 11:40:00,1000.50,-7.16,265.96,-8.54,89.80,3.56,3.20,0.36,1.99,3.20,1308.69,1.28,1.88,198.90
01.01.2009 11:50:00,1000.36,-7.03,266.10,-8.44,89.60,3.60,3.23,0.37,2.01,3.22,1307.86,1.75,3.00,207.50
01.01.2009 12:00:00,1000.30,-6.87,266.27,-8.28,89.60,3.64,3.27,0.38,2.03,3.26,1306.98,1.84,2.63,184.40
01.01.2009 12:10:00,1000.21,-6.77,266.38,-8.19,89.50,3.67,3.29,0.39,2.05,3.29,1306.33,2.15,2.88,202.80
01.01.2009 12:20:00,1000.18,-6.70,266.44,-8.09,89.80,3.69,3.32,0.38,2.06,3.32,1305.97,1.89,3.13,222.70
01.01.2009 12:30:00,1000.14,-6.61,266.54,-8.00,89.70,3.72,3.34,0.38,2.08,3.34,1305.44,2.25,3.38,237.60
01.01.2009 12:40:00,1000.02,-6.51,266.65,-7.93,89.50,3.75,3.36,0.39,2.09,3.36,1304.79,1.28,2.63,197.90
01.01.2009 12:50:00,1000.02,-6.21,266.95,-7.65,89.40,3.84,3.43,0.41,2.14,3.43,1303.28,0.33,1.00,202.60
01.01.2009 13:00:00,1000.03,-5.89,267.27,-7.46,88.60,3.93,3.48,0.45,2.17,3.48,1301.73,0.57,1.25,187.30
01.01.2009 13:10:00,999.97,-5.83,267.33,-7.52,87.80,3.95,3.47,0.48,2.16,3.47,1301.38,0.86,1.38,160.90
01.01.2009 13:20:00,999.97,-5.76,267.41,-7.46,87.70,3.97,3.48,0.49,2.17,3.48,1301.00,0.91,1.63,180.10
01.01.2009 13:30:00,1000.02,-5.90,267.26,-7.62,87.50,3.93,3.44,0.49,2.14,3.44,1301.76,1.45,2.00,138.10
01.01.2009 13:40:00,999.89,-5.97,267.20,-7.55,88.50,3.91,3.46,0.45,2.15,3.46,1301.94,1.22,1.88,161.40
01.01.2009 13:50:00,999.81,-5.88,267.30,-7.44,88.60,3.94,3.49,0.45,2.17,3.49,1301.37,1.43,2.00,146.00
01.01.2009 14:00:00,999.81,-5.94,267.24,-7.43,89.10,3.92,3.49,0.43,2.17,3.49,1301.67,1.25,2.00,144.00
01.01.2009 14:10:00,999.81,-5.84,267.34,-7.26,89.60,3.95,3.54,0.41,2.20,3.54,1301.17,1.01,2.13,151.00
01.01.2009 14:20:00,999.80,-5.76,267.41,-7.16,89.80,3.97,3.56,0.40,2.22,3.56,1300.77,1.19,1.88,157.00
01.01.2009 14:30:00,999.81,-5.75,267.43,-7.14,89.80,3.97,3.57,0.41,2.22,3.57,1300.69,1.25,2.00,145.10
01.01.2009 14:40:00,999.82,-5.76,267.41,-7.10,90.20,3.97,3.58,0.39,2.23,3.58,1300.77,1.35,2.25,137.70
01.01.2009 14:50:00,999.83,-5.73,267.45,-7.05,90.30,3.98,3.59,0.39,2.24,3.59,1300.61,1.74,2.38,142.40
01.01.2009 15:00:00,999.88,-5.69,267.48,-7.00,90.40,3.99,3.61,0.38,2.25,3.61,1300.51,1.17,1.88,134.90
01.01.2009 15:10:00,999.98,-5.53,267.63,-6.87,90.20,4.04,3.64,0.40,2.27,3.64,1299.83,1.33,1.75,148.60
01.01.2009 15:20:00,1000.06,-5.57,267.59,-6.97,89.80,4.03,3.62,0.41,2.25,3.62,1300.14,1.24,2.00,146.10
01.01.2009 15:30:00,1000.04,-5.43,267.73,-6.80,90.00,4.07,3.66,0.41,2.28,3.66,1299.40,0.90,1.25,155.10
01.01.2009 15:40:00,1000.00,-5.32,267.84,-6.76,89.50,4.11,3.68,0.43,2.29,3.68,1298.82,0.98,1.50,137.50
01.01.2009 15:50:00,999.95,-5.36,267.81,-6.84,89.20,4.09,3.65,0.44,2.28,3.65,1298.95,1.48,2.25,151.90
01.01.2009 16:00:00,999.94,-5.40,267.76,-6.86,89.40,4.08,3.65,0.43,2.27,3.65,1299.17,1.40,2.13,145.50
01.01.2009 16:10:00,1000.05,-5.31,267.85,-6.69,89.90,4.11,3.69,0.42,2.30,3.69,1298.81,1.03,1.50,127.00
01.01.2009 16:20:00,1000.05,-5.28,267.88,-6.68,89.80,4.12,3.70,0.42,2.30,3.70,1298.69,1.11,1.88,134.70
01.01.2009 16:30:00,1000.10,-5.32,267.83,-6.77,89.50,4.11,3.67,0.43,2.29,3.67,1298.96,1.35,2.13,132.30
01.01.2009 16:40:00,1000.17,-5.29,267.86,-6.70,89.70,4.12,3.69,0.42,2.30,3.69,1298.87,1.03,1.75,140.80
01.01.2009 16:50:00,1000.13,-5.33,267.82,-6.81,89.20,4.10,3.66,0.44,2.28,3.66,1299.04,1.08,1.50,160.00
01.01.2009 17:00:00,1000.17,-5.37,267.78,-6.82,89.40,4.09,3.66,0.43,2.28,3.66,1299.27,0.85,1.63,142.20
01.01.2009 17:10:00,1000.17,-5.43,267.72,-6.90,89.30,4.07,3.64,0.44,2.26,3.64,1299.60,1.27,1.88,144.00
01.01.2009 17:20:00,1000.18,-5.28,267.86,-6.68,89.80,4.12,3.70,0.42,2.30,3.70,1298.87,0.55,1.13,162.60
01.01.2009 17:30:00,1000.18,-5.21,267.94,-6.70,89.20,4.14,3.69,0.45,2.30,3.69,1298.51,0.53,1.38,147.20
01.01.2009 17:40:00,1000.17,-5.21,267.93,-6.75,88.90,4.14,3.68,0.46,2.29,3.68,1298.52,0.75,1.25,182.20
01.01.2009 17:50:00,1000.16,-5.24,267.91,-6.77,88.90,4.13,3.67,0.46,2.29,3.67,1298.65,0.72,1.25,150.40
01.01.2009 18:00:00,1000.16,-5.25,267.90,-6.75,89.10,4.13,3.68,0.45,2.29,3.68,1298.68,0.55,1.00,183.70
01.01.2009 18:10:00,1000.13,-5.16,267.99,-6.67,89.10,4.16,3.70,0.45,2.31,3.70,1298.21,0.60,1.00,186.90
01.01.2009 18:20:00,1000.07,-5.12,268.04,-6.62,89.10,4.17,3.72,0.45,2.31,3.72,1297.91,0.50,0.88,179.30
01.01.2009 18:30:00,1000.11,-5.04,268.12,-6.57,88.90,4.20,3.73,0.47,2.32,3.73,1297.56,0.41,0.88,152.30
01.01.2009 18:40:00,1000.18,-5.01,268.13,-6.58,88.70,4.20,3.73,0.47,2.32,3.73,1297.55,0.47,1.00,153.20
01.01.2009 18:50:00,1000.23,-5.12,268.02,-6.68,88.70,4.17,3.70,0.47,2.30,3.70,1298.15,0.93,1.38,148.80
01.01.2009 19:00:00,1000.22,-5.11,268.03,-6.57,89.40,4.17,3.73,0.44,2.32,3.73,1298.07,0.41,0.75,176.70
01.01.2009 19:10:00,1000.30,-4.90,268.24,-6.36,89.40,4.24,3.79,0.45,2.36,3.79,1297.10,0.35,0.88,158.10
01.01.2009 19:20:00,1000.19,-4.86,268.28,-6.40,88.90,4.25,3.78,0.47,2.35,3.78,1296.82,0.27,0.63,131.40
01.01.2009 19:30:00,1000.18,-4.90,268.25,-6.46,88.70,4.24,3.76,0.48,2.34,3.76,1296.97,0.50,0.88,149.70
01.01.2009 19:40:00,1000.14,-4.97,268.18,-6.53,88.70,4.22,3.74,0.48,2.33,3.74,1297.26,0.60,1.00,158.70
01.01.2009 19:50:00,1000.18,-4.99,268.16,-6.51,89.00,4.21,3.75,0.46,2.33,3.75,1297.41,0.55,0.88,158.40
01.01.2009 20:00:00,1000.22,-4.90,268.24,-6.38,89.30,4.24,3.79,0.45,2.36,3.78,1297.05,0.68,1.13,195.20
01.01.2009 20:10:00,1000.27,-4.93,268.21,-6.38,89.50,4.23,3.78,0.44,2.36,3.78,1297.25,0.63,1.13,206.50
01.01.2009 20:20:00,1000.21,-4.89,268.26,-6.29,89.80,4.24,3.81,0.43,2.37,3.81,1296.93,0.58,1.00,169.90
01.01.2009 20:30:00,1000.19,-4.93,268.21,-6.32,89.90,4.23,3.80,0.43,2.37,3.80,1297.13,1.04,1.50,156.20
01.01.2009 20:40:00,1000.24,-5.00,268.14,-6.34,90.20,4.21,3.80,0.41,2.36,3.80,1297.52,0.85,1.63,144.80
01.01.2009 20:50:00,1000.30,-4.90,268.24,-6.19,90.60,4.24,3.84,0.40,2.39,3.84,1297.08,0.28,0.75,146.60
01.01.2009 21:00:00,1000.19,-4.80,268.35,-6.14,90.20,4.27,3.85,0.42,2.40,3.85,1296.45,0.44,0.75,206.30
01.01.2009 21:10:00,1000.19,-4.84,268.31,-6.21,90.00,4.26,3.83,0.43,2.39,3.83,1296.64,0.83,1.13,168.50
01.01.2009 21:20:00,1000.15,-4.90,268.25,-6.25,90.20,4.24,3.82,0.42,2.38,3.82,1296.91,0.58,1.00,195.80
01.01.2009 21:30:00,1000.09,-4.86,268.29,-6.18,90.40,4.25,3.84,0.41,2.39,3.84,1296.63,0.34,0.75,212.10
01.01.2009 21:40:00,1000.06,-4.76,268.40,-6.06,90.50,4.29,3.88,0.41,2.42,3.88,1296.07,0.35,0.75,269.10
01.01.2009 21:50:00,1000.03,-4.61,268.55,-5.90,90.60,4.34,3.93,0.41,2.45,3.93,1295.29,0.33,0.75,219.70
01.01.2009 22:00:00,1000.00,-4.50,268.66,-5.82,90.40,4.37,3.95,0.42,2.46,3.95,1294.72,0.33,0.63,175.70
01.01.2009 22:10:00,999.92,-4.41,268.76,-5.73,90.40,4.40,3.98,0.42,2.48,3.98,1294.16,0.18,0.50,170.10
01.01.2009 22:20:00,999.93,-4.40,268.77,-5.77,90.10,4.40,3.97,0.44,2.47,3.97,1294.14,0.39,0.75,146.90
01.01.2009 22:30:00,999.87,-4.32,268.85,-5.70,90.00,4.43,3.99,0.44,2.48,3.99,1293.65,0.20,0.50,172.80
01.01.2009 22:40:00,999.80,-4.17,269.00,-5.60,89.70,4.48,4.02,0.46,2.50,4.02,1292.87,0.34,0.63,198.40
01.01.2009 22:50:00,999.77,-4.30,268.88,-5.79,89.30,4.44,3.96,0.47,2.47,3.96,1293.46,0.47,0.75,210.80
01.01.2009 23:00:00,999.77,-4.47,268.71,-5.84,90.10,4.38,3.95,0.43,2.46,3.95,1294.29,0.65,1.00,219.30
01.01.2009 23:10:00,999.80,-4.50,268.68,-5.71,91.20,4.37,3.99,0.38,2.48,3.99,1294.45,0.37,0.88,149.60
01.01.2009 23:20:00,999.81,-4.51,268.66,-5.65,91.70,4.37,4.00,0.36,2.50,4.01,1294.50,0.44,0.88,198.60
01.01.2009 23:30:00,999.80,-4.33,268.84,-5.36,92.50,4.43,4.09,0.33,2.55,4.09,1293.60,0.24,0.63,132.70
01.01.2009 23:40:00,999.71,-4.33,268.85,-5.43,92.00,4.43,4.07,0.35,2.54,4.07,1293.47,0.77,1.13,206.40
01.01.2009 23:50:00,999.67,-4.58,268.61,-5.62,92.40,4.34,4.01,0.33,2.50,4.02,1294.65,0.69,1.25,213.90
02.01.2009 00:00:00,999.59,-4.54,268.65,-5.46,93.20,4.36,4.06,0.30,2.53,4.06,1294.33,0.41,0.88,155.00
02.01.2009 00:10:00,999.55,-4.60,268.60,-5.52,93.20,4.34,4.04,0.29,2.52,4.04,1294.58,0.85,1.38,151.20
02.01.2009 00:20:00,999.56,-4.67,268.53,-5.52,93.70,4.32,4.04,0.27,2.52,4.05,1294.91,0.83,1.50,148.80
02.01.2009 00:30:00,999.56,-4.66,268.53,-5.46,94.10,4.32,4.06,0.25,2.53,4.06,1294.89,0.53,1.38,154.30
02.01.2009 00:40:00,999.48,-4.55,268.65,-5.31,94.40,4.35,4.11,0.24,2.56,4.11,1294.22,0.41,1.25,159.30
02.01.2009 00:50:00,999.44,-4.43,268.77,-5.19,94.40,4.39,4.15,0.25,2.59,4.15,1293.56,0.63,1.13,192.10
02.01.2009 01:00:00,999.34,-4.44,268.77,-5.19,94.40,4.39,4.15,0.25,2.58,4.15,1293.47,0.28,1.00,148.10
02.01.2009 01:10:00,999.31,-4.39,268.82,-5.14,94.50,4.41,4.16,0.24,2.60,4.17,1293.22,0.42,1.25,153.50
02.01.2009 01:20:00,999.21,-4.40,268.82,-5.16,94.40,4.40,4.16,0.25,2.59,4.16,1293.11,0.51,0.88,146.20
02.01.2009 01:30:00,999.18,-4.40,268.82,-5.13,94.60,4.40,4.17,0.24,2.60,4.17,1293.08,0.27,0.63,165.10
02.01.2009 01:40:00,999.08,-4.31,268.92,-5.03,94.70,4.43,4.20,0.24,2.62,4.20,1292.49,0.22,0.75,185.00
02.01.2009 01:50:00,999.00,-4.26,268.98,-4.99,94.60,4.45,4.21,0.24,2.63,4.21,1292.14,0.37,0.75,223.10
02.01.2009 02:00:00,998.93,-4.29,268.95,-5.04,94.50,4.44,4.20,0.24,2.62,4.20,1292.22,0.49,0.88,209.80
02.01.2009 02:10:00,998.93,-4.26,268.99,-4.99,94.60,4.45,4.21,0.24,2.63,4.22,1292.03,0.29,0.75,182.30
02.01.2009 02:20:00,998.82,-4.27,268.99,-5.02,94.40,4.45,4.20,0.25,2.62,4.20,1291.94,0.30,0.75,148.50
02.01.2009 02:30:00,998.82,-4.30,268.95,-5.04,94.50,4.44,4.19,0.24,2.62,4.20,1292.11,0.39,0.75,223.60
02.01.2009 02:40:00,998.78,-4.32,268.94,-5.05,94.60,4.43,4.19,0.24,2.61,4.20,1292.15,0.61,1.13,176.30
02.01.2009 02:50:00,998.73,-4.39,268.87,-5.12,94.60,4.41,4.17,0.24,2.60,4.18,1292.43,0.45,0.75,194.00
02.01.2009 03:00:00,998.69,-4.45,268.81,-5.15,94.80,4.39,4.16,0.23,2.59,4.16,1292.69,0.65,1.00,203.30
02.01.2009 03:10:00,998.67,-4.50,268.76,-5.17,95.00,4.37,4.15,0.22,2.59,4.16,1292.90,0.72,1.00,177.50
02.01.2009 03:20:00,998.58,-4.48,268.79,-5.12,95.20,4.38,4.17,0.21,2.60,4.17,1292.66,0.56,0.88,179.30
02.01.2009 03:30:00,998.49,-4.43,268.84,-5.07,95.30,4.39,4.19,0.21,2.61,4.19,1292.34,0.57,1.00,212.20
02.01.2009 03:40:00,998.44,-4.33,268.95,-4.94,95.50,4.43,4.23,0.20,2.64,4.23,1291.75,0.42,0.88,160.70
02.01.2009 03:50:00,998.39,-4.41,268.87,-5.07,95.10,4.40,4.18,0.22,2.61,4.19,1292.10,0.92,1.50,167.60
02.01.2009 04:00:00,998.32,-4.58,268.71,-5.22,95.20,4.34,4.14,0.21,2.58,4.14,1292.83,0.77,1.38,190.20
02.01.2009 04:10:00,998.29,-4.63,268.66,-5.25,95.40,4.33,4.13,0.20,2.58,4.14,1293.05,0.83,1.25,190.80
02.01.2009 04:20:00,998.12,-4.63,268.68,-5.23,95.50,4.33,4.13,0.19,2.58,4.14,1292.80,0.80,1.25,222.00
02.01.2009 04:30:00,997.95,-4.74,268.58,-5.33,95.60,4.29,4.10,0.19,2.56,4.11,1293.15,1.05,1.50,223.20
02.01.2009 04:40:00,998.03,-4.86,268.45,-5.44,95.70,4.25,4.07,0.18,2.54,4.08,1293.84,0.50,1.00,113.50
02.01.2009 04:50:00,998.08,-4.97,268.34,-5.51,95.90,4.22,4.05,0.17,2.53,4.05,1294.44,0.49,1.13,107.10
02.01.2009 05:00:00,998.10,-4.96,268.34,-5.50,96.00,4.22,4.05,0.17,2.53,4.06,1294.44,0.79,1.25,22.22
02.01.2009 05:10:00,998.21,-4.94,268.36,-5.48,96.00,4.23,4.06,0.17,2.53,4.06,1294.48,1.03,1.63,344.20
02.01.2009 05:20:00,998.21,-4.78,268.52,-5.27,96.30,4.28,4.12,0.16,2.57,4.13,1293.66,0.90,1.50,358.80
02.01.2009 05:30:00,998.13,-4.63,268.68,-5.14,96.20,4.33,4.16,0.16,2.60,4.17,1292.80,0.44,1.00,30.37
02.01.2009 05:40:00,998.02,-4.64,268.67,-5.19,95.90,4.32,4.15,0.18,2.59,4.16,1292.73,0.49,0.88,166.50
02.01.2009 05:50:00,997.93,-4.67,268.65,-5.21,96.00,4.31,4.14,0.17,2.59,4.15,1292.78,0.44,1.13,312.70
02.01.2009 06:00:00,998.00,-4.43,268.88,-4.94,96.20,4.39,4.23,0.17,2.64,4.23,1291.66,0.81,2.13,40.88
02.01.2009 06:10:00,998.11,-4.38,268.93,-4.93,95.90,4.41,4.23,0.18,2.64,4.24,1291.55,0.75,1.63,52.73
02.01.2009 06:20:00,998.15,-4.32,268.98,-4.87,95.90,4.43,4.25,0.18,2.65,4.26,1291.31,0.68,1.38,38.00
02.01.2009 06:30:00,998.21,-4.25,269.05,-4.81,95.80,4.46,4.27,0.19,2.66,4.28,1291.03,0.25,0.75,59.41
02.01.2009 06:40:00,998.22,-4.16,269.14,-4.75,95.60,4.48,4.29,0.20,2.68,4.30,1290.61,0.93,2.00,52.70
02.01.2009 06:50:00,998.19,-4.26,269.04,-4.88,95.40,4.45,4.25,0.20,2.65,4.25,1291.06,0.97,1.75,26.64
02.01.2009 07:00:00,998.17,-4.28,269.02,-4.89,95.50,4.44,4.24,0.20,2.65,4.25,1291.15,0.53,1.13,156.40
02.01.2009 07:10:00,998.19,-4.34,268.96,-4.98,95.30,4.42,4.21,0.21,2.63,4.22,1291.50,0.33,0.63,202.60
02.01.2009 07:20:00,998.20,-4.37,268.93,-5.01,95.20,4.42,4.20,0.21,2.62,4.21,1291.62,0.38,0.63,216.90
02.01.2009 07:30:00,998.22,-4.33,268.97,-4.97,95.20,4.43,4.22,0.21,2.63,4.22,1291.44,1.04,1.75,197.70
02.01.2009 07:40:00,998.17,-4.43,268.87,-5.09,95.10,4.39,4.18,0.22,2.61,4.19,1291.91,1.11,2.38,190.70
