,p,T,Tdew,rh,VPmax,VPact,VPdef,sh,H2OC,rho,wv,max_wv,wd,TMax,TMin
2009-02-20,996.713,0.243,-0.577,94.240,6.259,5.891,0.368,3.684,5.909,1267.188,1.840,3.152,214.615,2.530,-2.770
2009-02-21,1000.647,1.079,0.246,94.170,6.610,6.221,0.389,3.876,6.217,1268.125,1.535,2.691,252.111,2.060,-0.120
2009-02-22,991.928,1.916,1.140,94.682,7.068,6.663,0.406,4.190,6.719,1253.090,1.765,3.182,210.741,4.230,-0.840
2009-02-23,985.642,2.443,0.517,87.185,7.298,6.348,0.950,4.016,6.440,1242.830,2.884,5.565,248.735,3.890,-0.300
2009-02-24,995.795,-0.348,-1.321,93.115,5.957,5.545,0.411,3.471,5.569,1268.878,1.012,1.913,122.777,0.360,-1.040
2009-02-25,999.921,1.444,-1.506,81.978,6.914,5.478,1.436,3.414,5.478,1266.027,2.006,3.138,162.909,5.450,-3.110
2009-02-26,990.586,3.973,0.604,78.901,8.150,6.393,1.757,4.024,6.455,1242.184,2.945,5.267,224.098,5.960,1.830
2009-02-27,987.759,4.853,3.002,87.858,8.657,7.595,1.062,4.797,7.688,1234.119,2.154,4.208,250.603,6.290,3.240
2009-02-28,988.464,6.567,5.460,92.644,9.746,9.030,0.717,5.702,9.136,1226.753,1.165,1.941,207.856,8.100,5.490
2009-03-01,984.868,5.436,3.270,86.876,9.144,7.745,1.398,4.906,7.864,1227.956,2.234,3.428,173.602,12.170,2.720
2009-03-02,985.724,5.434,3.563,87.787,9.024,7.905,1.118,5.003,8.019,1228.860,2.054,3.363,205.759,7.870,3.520
2009-03-03,987.478,3.935,-0.564,74.658,8.197,5.925,2.272,3.740,5.998,1238.714,1.804,2.852,200.846,8.790,-0.500
2009-03-04,970.946,4.606,0.380,74.934,8.690,6.304,2.387,4.051,6.496,1214.950,2.543,4.097,181.015,10.260,-0.580
2009-03-05,959.861,2.217,1.386,94.294,7.301,6.853,0.448,4.454,7.141,1211.118,1.291,2.214,132.458,6.360,-1.810
2009-03-06,966.120,3.950,3.618,97.689,8.121,7.936,0.185,5.127,8.217,1210.788,1.907,2.988,122.538,5.370,2.770
2009-03-07,981.519,1.701,0.591,92.382,6.925,6.392,0.533,4.061,6.513,1240.949,2.101,3.641,251.974,3.350,-1.780
2009-03-08,980.118,2.808,1.033,88.547,7.647,6.666,0.981,4.244,6.805,1234.269,3.271,5.000,195.358,6.440,-2.500
2009-03-09,980.009,3.841,-0.415,74.429,8.066,5.966,2.100,3.796,6.089,1229.653,2.600,4.861,235.976,6.410,1.840
2009-03-10,981.917,3.628,0.559,80.568,7.944,6.370,1.574,4.046,6.489,1232.815,3.601,5.586,218.033,5.580,2.220
2009-03-11,989.162,2.926,0.364,83.892,7.589,6.279,1.311,3.957,6.348,1245.133,2.326,4.162,261.874,6.060,-0.220
2009-03-12,992.296,2.976,1.162,87.909,7.591,6.674,0.917,4.195,6.727,1248.689,2.631,4.199,219.796,5.910,1.050
2009-03-13,991.460,6.548,2.066,74.133,9.817,7.111,2.707,4.474,7.173,1231.530,2.473,4.351,254.558,10.430,2.400
2009-03-14,990.818,5.266,1.653,78.963,9.200,6.930,2.271,4.363,6.995,1236.708,2.050,3.165,184.594,10.360,-0.460
2009-03-15,994.909,6.188,4.313,87.794,9.487,8.330,1.157,5.224,8.373,1236.782,2.147,4.051,254.691,7.560,5.130
2009-03-16,1004.126,6.146,3.753,84.942,9.470,8.001,1.469,4.972,7.968,1248.624,1.467,2.419,236.389,8.260,4.840
2009-03-17,1003.589,6.388,1.511,71.804,9.693,6.906,2.787,4.292,6.882,1247.444,2.069,3.851,254.238,10.740,2.790
2009-03-18,1002.747,3.902,-2.638,63.986,8.232,5.033,3.199,3.128,5.019,1258.561,2.527,4.361,257.747,9.310,-0.400
2009-03-19,998.268,2.708,-2.275,70.242,7.443,5.227,2.215,3.264,5.238,1258.126,2.777,4.579,120.625,4.910,-0.200
2009-03-20,1004.003,0.095,-6.332,62.143,6.166,3.803,2.363,2.360,3.788,1278.138,2.080,3.455,94.068,2.580,-2.000
2009-03-21,1000.625,1.732,-6.326,58.056,7.162,3.809,3.353,2.371,3.806,1266.518,1.321,2.346,211.984,7.700,-4.100
2009-03-22,993.352,3.870,-1.734,67.185,8.251,5.451,2.800,3.421,5.489,1246.732,2.509,5.025,231.961,8.510,-1.540
2009-03-23,979.869,5.708,1.470,74.641,9.241,6.813,2.428,4.335,6.952,1220.872,3.917,7.741,246.133,8.040,0.800
2009-03-24,975.804,1.255,-2.567,76.259,6.766,5.076,1.690,3.243,5.203,1236.417,2.884,5.566,241.707,6.450,-2.280
2009-03-25,976.155,-0.257,-2.844,83.033,6.049,5.038,1.011,3.219,5.165,1243.736,2.680,3.991,198.549,2.450,-3.860
2009-03-26,977.152,4.225,1.123,81.087,8.347,6.633,1.715,4.233,6.787,1224.095,3.900,5.971,222.233,7.620,0.170
2009-03-27,973.382,5.915,2.256,77.667,9.343,7.205,2.137,4.617,7.403,1211.682,3.630,5.680,219.929,8.510,3.050
2009-03-28,972.916,5.385,1.673,77.240,9.061,6.916,2.145,4.434,7.109,1213.592,3.790,5.795,198.387,8.970,2.020
2009-03-29,981.128,5.858,0.471,69.139,9.332,6.328,3.003,4.021,6.450,1222.020,2.008,3.228,210.665,8.850,3.300
2009-03-30,992.850,4.618,0.895,77.363,8.571,6.524,2.047,4.098,6.571,1242.096,1.255,2.205,101.149,8.270,0.590
2009-03-31,996.642,4.681,-0.446,72.890,9.072,5.942,3.130,3.717,5.963,1247.288,1.471,2.565,113.349,11.760,-2.480
2009-04-01,993.855,7.284,-0.284,61.858,10.779,6.001,4.778,3.764,6.038,1232.163,2.841,4.713,80.935,13.380,-1.800
2009-04-02,993.416,10.626,2.869,59.458,13.205,7.572,5.634,4.755,7.623,1216.206,3.702,5.682,146.492,16.280,4.250
2009-04-03,990.450,12.842,4.647,61.731,16.105,8.557,7.549,5.392,8.640,1203.161,1.460,2.402,171.493,22.370,2.650
2009-04-04,991.279,13.436,7.691,69.971,16.141,10.589,5.552,6.671,10.681,1200.419,1.247,2.407,204.308,19.580,5.240
2009-04-05,995.457,11.013,7.223,77.935,13.236,10.193,3.042,6.394,10.240,1215.630,1.505,2.547,95.198,14.390,7.550
2009-04-06,990.098,11.968,7.391,75.287,14.603,10.365,4.237,6.541,10.473,1205.270,1.039,1.905,137.291,18.880,5.780
2009-04-07,984.454,12.812,6.999,71.945,15.695,10.071,5.624,6.388,10.230,1195.059,1.589,2.690,180.136,22.100,5.060
2009-04-08,986.899,12.857,6.824,68.290,15.149,9.924,5.226,6.279,10.056,1197.595,2.332,3.630,203.062,17.420,7.520
2009-04-09,989.798,12.506,6.622,68.045,14.796,9.817,4.979,6.193,9.918,1202.657,1.497,2.432,135.115,16.970,7.240
2009-04-10,984.931,14.262,7.155,66.899,17.531,10.187,7.344,6.459,10.344,1189.767,1.477,2.795,145.957,23.160,4.860
2009-04-11,982.519,15.263,8.425,65.584,18.011,11.087,6.924,7.049,11.284,1181.938,2.061,3.262,68.932,22.010,7.090
2009-04-12,983.851,14.097,6.264,61.625,16.672,9.591,7.080,6.086,9.748,1189.014,2.101,3.280,94.808,20.050,6.000
2009-04-13,982.328,12.791,6.181,66.462,15.536,9.518,6.017,6.050,9.690,1192.758,1.620,2.568,103.740,19.770,4.180
2009-04-14,982.452,13.652,6.868,66.237,16.463,9.976,6.488,6.340,10.154,1189.122,1.515,2.518,110.081,20.560,5.240
2009-04-15,983.986,14.943,5.104,56.666,18.018,8.830,9.189,5.600,8.973,1186.237,1.789,3.177,138.538,22.090,5.710
2009-04-16,980.544,14.754,4.646,52.663,17.667,8.568,9.099,5.455,8.740,1182.943,1.979,3.462,115.002,22.420,5.310
2009-04-17,977.214,8.091,6.592,90.891,10.861,9.772,1.090,6.243,10.000,1205.854,1.572,2.843,195.917,12.420,6.420
2009-04-18,985.480,7.445,6.035,90.856,10.379,9.394,0.986,5.950,9.532,1219.044,2.187,3.642,94.878,9.790,5.230
2009-04-19,995.398,10.528,6.771,78.468,12.870,9.880,2.990,6.197,9.926,1217.802,2.763,4.131,64.546,14.650,7.770
2009-04-20,996.782,10.855,3.439,62.842,13.475,7.832,5.642,4.902,7.858,1219.270,2.363,3.803,77.615,16.420,3.200
2009-04-21,995.936,11.109,1.574,54.709,13.760,6.854,6.906,4.291,6.882,1217.624,1.530,2.720,110.053,17.090,3.140
2009-04-22,993.053,8.520,2.945,70.143,11.547,7.585,3.962,4.765,7.639,1224.884,1.732,3.149,187.559,15.700,2.440
2009-04-23,995.153,6.384,4.213,86.316,9.652,8.268,1.384,5.184,8.308,1236.270,1.535,2.752,136.714,8.540,3.830
2009-04-24,995.016,9.900,4.122,72.104,12.960,8.257,4.703,5.178,8.298,1221.254,2.137,3.754,133.651,17.670,2.730
2009-04-25,988.436,14.381,3.150,49.305,17.195,7.677,9.518,4.845,7.767,1194.386,2.033,3.420,180.641,21.570,5.320
2009-04-26,982.803,13.907,5.697,60.550,16.766,9.202,7.564,5.845,9.364,1188.913,1.906,3.064,168.670,20.750,5.080
2009-04-27,977.476,15.686,7.119,57.511,18.178,10.158,8.020,6.490,10.393,1174.391,1.894,3.242,195.933,21.370,10.860
2009-04-28,975.525,13.118,8.529,75.939,15.607,11.152,4.454,7.142,11.433,1182.211,1.938,3.389,204.140,22.020,8.500
2009-04-29,981.762,9.360,8.138,92.140,11.801,10.846,0.955,6.901,11.048,1205.519,1.241,2.251,217.435,11.480,7.960
2009-04-30,989.340,12.305,9.327,82.880,14.537,11.764,2.772,7.429,11.891,1201.995,1.031,2.022,196.025,17.130,8.970
2009-05-01,994.081,12.690,9.444,81.557,15.006,11.883,3.123,7.469,11.953,1206.160,1.568,2.773,139.181,17.420,7.660
2009-05-02,998.119,12.878,8.517,77.500,15.419,11.155,4.264,6.981,11.175,1210.741,1.844,3.081,127.858,18.590,6.290
2009-05-03,995.377,13.190,6.940,71.136,15.978,10.045,5.933,6.301,10.091,1206.760,1.596,2.850,198.869,20.890,5.850
2009-05-04,996.025,8.108,2.837,70.606,10.897,7.555,3.342,4.732,7.586,1230.134,1.715,3.183,250.977,11.780,3.440
2009-05-05,993.161,6.823,3.088,78.587,10.208,7.735,2.474,4.860,7.790,1232.349,2.785,4.553,203.231,11.110,0.460
2009-05-06,988.164,10.533,7.563,82.356,12.780,10.432,2.349,6.593,10.557,1208.595,2.487,4.831,228.252,12.630,7.960
2009-05-07,990.302,14.194,7.902,67.859,16.558,10.669,5.888,6.729,10.774,1195.833,2.522,3.996,208.376,19.230,9.460
2009-05-08,987.663,13.232,9.018,77.255,15.798,11.581,4.217,7.327,11.726,1196.353,2.289,3.707,207.835,20.390,6.630
2009-05-09,992.323,13.124,6.677,66.008,15.687,10.004,5.683,6.300,10.087,1203.244,1.633,2.864,142.949,19.610,5.080
2009-05-10,992.045,13.907,8.205,70.851,16.041,11.017,5.023,6.940,11.109,1198.859,1.753,3.021,173.076,17.510,10.850
2009-05-11,991.465,10.490,9.039,90.804,12.734,11.553,1.182,7.280,11.653,1212.312,2.323,3.518,82.411,12.700,8.710
2009-05-12,995.392,10.845,3.722,63.771,13.135,8.075,5.059,5.063,8.113,1217.277,3.017,5.062,89.788,14.570,7.160
2009-05-13,992.384,11.823,4.004,59.670,14.169,8.165,6.003,5.134,8.228,1209.494,2.524,4.122,98.657,15.970,6.690
2009-05-14,985.727,12.248,4.107,59.117,14.595,8.206,6.389,5.195,8.325,1199.556,2.154,3.772,119.185,17.840,7.630
2009-05-15,981.943,14.564,9.270,70.896,16.965,11.818,5.146,7.522,12.038,1183.664,1.906,3.221,122.520,19.710,9.570
2009-05-16,987.357,13.086,6.968,68.628,15.212,10.078,5.134,6.376,10.211,1197.027,2.143,3.701,229.090,16.620,9.850
2009-05-17,988.374,15.731,8.648,67.262,19.348,11.335,8.012,7.167,11.472,1187.363,2.768,4.441,188.044,25.920,5.990
2009-05-18,992.005,15.550,10.252,72.508,17.859,12.555,5.305,7.911,12.657,1191.304,1.627,2.873,237.482,19.700,12.050
2009-05-19,994.932,15.383,7.812,63.908,18.087,10.621,7.465,6.667,10.676,1196.617,1.243,2.255,164.714,20.950,8.360
2009-05-20,993.589,16.890,10.603,68.171,19.911,12.854,7.058,8.087,12.938,1187.787,1.606,2.901,121.203,22.870,10.190
2009-05-21,986.769,16.806,13.022,80.106,19.618,15.087,4.531,9.567,15.292,1178.845,1.632,2.763,199.138,24.200,11.950
2009-05-22,987.941,13.374,9.736,79.652,15.478,12.204,3.272,7.722,12.356,1195.562,1.584,2.662,174.052,17.710,9.830
2009-05-23,993.690,13.407,6.457,64.777,15.816,9.665,6.151,6.072,9.726,1203.737,1.382,2.611,195.877,18.660,6.500
2009-05-24,991.307,18.657,11.169,63.411,22.415,13.385,9.030,8.443,13.503,1177.698,1.474,2.694,225.172,25.180,11.380
2009-05-25,991.724,18.573,11.631,65.818,22.054,13.733,8.321,8.659,13.848,1178.285,1.399,2.477,90.297,24.080,11.630
2009-05-26,984.889,19.945,12.808,65.053,24.035,14.895,9.140,9.462,15.124,1164.136,2.330,3.925,212.094,27.250,12.880
2009-05-27,995.721,12.921,5.180,60.904,15.059,8.900,6.158,5.581,8.941,1208.451,2.618,4.546,247.681,16.670,8.180
2009-05-28,997.110,11.966,5.985,67.268,14.123,9.512,4.611,5.957,9.542,1213.921,2.278,4.185,241.619,16.410,8.020
2009-05-29,1001.204,11.269,3.535,60.003,13.683,7.909,5.774,4.929,7.900,1222.771,3.701,6.091,105.622,16.360,5.790
2009-05-30,998.336,10.678,7.945,83.531,12.971,10.787,2.184,6.751,10.808,1220.358,2.365,3.920,104.658,14.000,7.040
2009-05-31,996.165,13.568,10.207,81.005,15.745,12.498,3.247,7.842,12.547,1204.645,2.239,3.665,86.282,18.640,9.770
2009-06-01,992.706,15.202,10.618,75.876,17.564,12.826,4.737,8.076,12.920,1193.524,2.182,3.739,117.266,20.210,11.580
2009-06-02,988.485,17.500,9.882,63.812,20.615,12.280,8.335,7.763,12.421,1179.401,1.865,3.607,224.573,23.200,11.090
2009-06-03,986.588,10.939,3.223,59.122,13.136,7.712,5.424,4.877,7.817,1206.199,2.925,5.502,265.124,13.730,8.510
2009-06-04,985.691,9.307,1.784,59.843,11.795,6.955,4.839,4.400,7.057,1212.435,2.396,4.366,252.261,12.310,6.910
2009-06-05,983.383,9.311,3.040,65.805,11.823,7.611,4.212,4.828,7.740,1209.278,1.573,2.943,243.183,12.410,5.650
2009-06-06,975.947,8.151,5.501,84.082,10.952,9.156,1.796,5.860,9.387,1204.379,2.041,3.360,105.020,11.100,3.940
2009-06-07,976.675,12.040,7.959,77.587,14.320,10.785,3.535,6.897,11.040,1188.104,2.052,3.587,211.000,18.290,6.840
2009-06-08,982.804,14.515,7.325,64.560,16.862,10.292,6.569,6.539,10.472,1185.554,3.359,5.136,198.464,18.970,8.830
2009-06-09,983.846,14.813,10.211,75.087,17.070,12.502,4.568,7.941,12.706,1184.525,1.884,3.052,200.552,19.290,11.560
2009-06-10,987.492,14.469,10.295,77.045,16.675,12.556,4.119,7.947,12.715,1190.324,3.003,4.567,206.449,18.960,10.080
2009-06-11,984.286,13.322,9.585,78.567,15.441,12.003,3.438,7.623,12.198,1191.457,3.377,5.851,226.031,17.340,9.610
2009-06-12,991.229,11.077,5.894,71.521,13.366,9.303,4.063,5.858,9.385,1210.631,2.472,4.704,253.743,15.870,7.640
2009-06-13,993.604,13.369,3.873,55.845,16.000,8.074,7.926,5.070,8.126,1204.634,1.927,3.655,224.483,20.410,5.740
2009-06-14,992.032,16.100,7.836,60.121,19.469,10.816,8.653,6.813,10.907,1190.373,1.505,2.710,184.661,23.830,6.180
2009-06-15,988.451,16.253,13.392,84.102,18.857,15.454,3.403,9.783,15.634,1182.894,1.896,3.215,142.000,21.840,10.490
2009-06-16,993.103,12.862,9.874,83.030,15.000,12.204,2.797,7.680,12.289,1203.993,1.787,3.164,240.645,17.370,9.600
2009-06-17,996.531,14.353,9.324,74.577,16.989,11.770,5.219,7.381,11.813,1202.375,1.303,2.315,128.575,20.920,7.950
2009-06-18,989.868,17.285,12.145,73.129,20.295,14.236,6.060,8.995,14.382,1181.037,1.836,2.969,221.076,22.230,10.690
2009-06-19,989.530,15.914,10.169,70.248,18.233,12.557,5.675,7.933,12.693,1186.810,1.571,2.939,237.458,19.350,12.250
2009-06-20,993.251,13.451,6.320,62.710,15.592,9.584,6.009,6.024,9.649,1202.916,2.064,3.485,235.589,17.990,9.490
2009-06-21,993.102,11.794,7.562,76.383,14.005,10.431,3.573,6.560,10.504,1209.351,1.219,2.251,181.539,15.980,8.120
2009-06-22,995.327,11.738,9.447,86.254,13.915,11.876,2.039,7.455,11.931,1211.610,1.580,2.922,141.341,17.320,9.160
2009-06-23,995.442,13.876,8.154,69.604,16.072,10.890,5.181,6.834,10.941,1203.225,2.783,4.908,86.939,18.200,9.920
2009-06-24,991.001,16.120,10.573,69.842,18.737,12.959,5.777,8.178,13.081,1187.699,3.019,5.030,30.442,21.120,11.220
2009-06-25,986.935,14.474,12.696,89.172,16.525,14.716,1.808,9.327,14.911,1188.569,2.021,3.370,56.354,16.760,13.440
2009-06-26,985.911,17.370,15.286,88.294,20.062,17.411,2.651,11.058,17.660,1174.347,1.812,3.010,90.141,21.570,14.300
2009-06-27,987.995,16.324,15.314,93.821,18.607,17.429,1.179,11.046,17.641,1181.016,3.555,5.050,29.415,18.120,15.230
2009-06-28,989.709,17.347,14.117,82.209,19.971,16.140,3.831,10.206,16.307,1179.543,1.844,2.959,66.831,19.930,14.060
2009-06-29,991.539,18.017,12.741,74.151,21.508,14.776,6.732,9.322,14.902,1179.909,1.239,2.235,127.415,24.210,10.780
2009-06-30,992.959,20.163,14.203,70.425,24.441,16.264,8.177,10.252,16.379,1172.259,1.260,2.292,136.088,25.780,12.630
2009-07-01,993.591,20.122,16.580,81.073,23.996,18.994,5.002,11.978,19.117,1171.804,1.169,2.061,155.159,25.740,14.670
2009-07-02,991.422,21.101,17.107,79.522,25.442,19.550,5.892,12.357,19.718,1165.078,1.748,2.934,122.151,26.550,16.430
2009-07-03,986.838,21.859,16.335,73.586,26.886,18.619,8.268,11.819,18.866,1157.168,1.418,2.568,91.297,27.660,16.300
2009-07-04,984.849,21.292,15.967,72.713,25.643,18.202,7.441,11.577,18.482,1157.108,1.267,2.588,206.499,25.670,17.300
2009-07-05,983.905,20.610,11.860,60.665,24.879,14.016,10.863,8.908,14.243,1160.649,1.313,2.545,204.831,26.390,15.080
2009-07-06,981.912,17.570,13.177,76.228,20.487,15.245,5.243,9.714,15.526,1169.799,1.303,2.423,210.193,23.020,12.340
2009-07-07,980.672,15.979,12.567,81.866,18.475,14.598,3.876,9.311,14.886,1175.010,2.317,3.659,203.574,22.050,12.240
2009-07-08,980.662,14.750,10.341,75.298,16.914,12.588,4.324,8.023,12.836,1180.863,3.386,5.739,221.448,18.740,12.230
2009-07-09,985.635,14.637,8.192,66.836,16.815,10.926,5.890,6.924,11.086,1188.109,2.196,4.013,240.856,18.010,11.580
2009-07-10,985.817,12.708,8.593,77.098,14.799,11.200,3.599,7.097,11.361,1196.209,2.951,5.093,216.129,16.360,10.480
2009-07-11,988.664,12.454,9.278,81.713,14.563,11.723,2.840,7.409,11.858,1200.506,1.707,2.996,217.293,16.720,10.490
2009-07-12,986.422,16.047,11.962,78.498,18.708,14.031,4.677,8.895,14.225,1182.012,2.529,3.754,193.655,20.770,10.870
2009-07-13,986.243,20.175,13.480,66.822,24.066,15.499,8.567,9.833,15.715,1164.424,1.738,2.910,193.891,25.290,14.810
2009-07-14,986.640,19.891,16.147,79.806,23.515,18.395,5.120,11.679,18.644,1164.671,2.288,3.517,192.304,24.270,15.960
2009-07-15,991.376,20.359,15.663,75.152,24.127,17.828,6.299,11.263,17.984,1168.661,3.144,4.619,206.824,24.250,16.680
2009-07-16,994.469,20.845,12.657,63.369,25.394,14.733,10.661,9.267,14.814,1171.965,1.134,2.082,168.415,26.670,14.450
2009-07-17,984.768,19.872,14.074,70.312,23.885,16.171,7.714,10.281,16.425,1163.707,2.261,3.551,204.887,26.730,13.120
2009-07-18,983.138,15.100,11.306,78.825,17.261,13.432,3.828,8.543,13.663,1182.010,2.241,4.050,234.558,18.470,13.100
2009-07-19,988.005,14.938,10.823,77.099,17.150,13.000,4.149,8.225,13.157,1188.793,3.107,4.738,217.135,19.130,11.910
2009-07-20,990.339,15.336,10.368,73.481,17.706,12.606,5.100,7.956,12.729,1190.202,2.904,4.626,219.700,19.750,10.900
